Gene stable ID	Gene name	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene type	logFC	logCPM	LR	PValue	FDR
ENSGALG00000000003	PANX2	pannexin 2 [Source:NCBI gene;Acc:426934]	1	20328226	20347898	1	protein_coding	0.684292309878826	1.36728681042993	2.95671235031002	0.0855216694948593	0.163185370831159
ENSGALG00000000011	C10orf88	chromosome 10 open reading frame 88 [Source:HGNC Symbol;Acc:HGNC:25822]	6	32362856	32366096	-1	protein_coding	0.414726526100274	5.02520299493373	17.1427639111987	3.46727787116293e-05	0.000199482472787527
ENSGALG00000000048		V-type proton ATPase catalytic subunit A-like [Source:NCBI gene;Acc:776719]	25	482603	488101	1	protein_coding	-1.2586396791951	-0.217661579645202	1.63961674183891	0.200378060782365	0.317706320942661
ENSGALG00000000055	LAMTOR3	late endosomal/lysosomal adaptor, MAPK and MTOR activator 3 [Source:NCBI gene;Acc:425210]	4	60121988	60126244	-1	protein_coding	0.124357693292367	6.41223498379958	4.06770041399821	0.0437107424749347	0.0967937619859002
ENSGALG00000000067	SPR	sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase) [Source:NCBI gene;Acc:425255]	4	89868567	89871730	-1	protein_coding	0.518321128283388	4.10419374705187	13.8925579888063	0.000193563382555713	0.00094853395155541
ENSGALG00000000071		DNA damage induced apoptosis suppressor [Source:NCBI gene;Acc:101750305]	1	190327368	190335382	1	protein_coding	-0.364960491838107	1.9730284210353	1.4514059552246	0.228302489036945	0.345467094363742
ENSGALG00000000086	TIMM17B	translocase of inner mitochondrial membrane 17 homolog B (yeast) [Source:NCBI gene;Acc:421147]	26	1113674	1120743	-1	protein_coding	-0.168067738400398	6.89327959499372	10.3372702224725	0.00130370675610702	0.00503838897227649
ENSGALG00000000091	INTS4	integrator complex subunit 4 [Source:NCBI gene;Acc:419028]	1	194331748	194363395	1	protein_coding	0.362066577219407	0.902624604059548	0.556895057506597	0.455513983252001	0.57431001800419
ENSGALG00000000094	ADIPOR1	adiponectin receptor 1 [Source:NCBI gene;Acc:421148]	26	1106026	1112697	1	protein_coding	0.164621348078867	5.47303446297256	3.73872706176482	0.0531649331728894	0.111734218699441
ENSGALG00000000102	UBE2T	ubiquitin conjugating enzyme E2 T [Source:NCBI gene;Acc:421149]	26	1099146	1102387	1	protein_coding	0.195307355835582	5.59965470755391	5.73594251235248	0.0166211458974144	0.0440250714869046
ENSGALG00000000106	LRIF1	ligand dependent nuclear receptor interacting factor 1 [Source:NCBI gene;Acc:421150]	26	1079126	1090634	-1	protein_coding	-0.487134358029301	3.01368967320124	5.71181063194338	0.016851150163421	0.0445602101879438
ENSGALG00000000109	AFMID	arylformamidase [Source:NCBI gene;Acc:769005]	18	9856717	9860064	-1	protein_coding	-0.0773279963081402	3.81337017972839	0.258601724188202	0.611082420342045	0.714284637279615
ENSGALG00000000112	PLP1	proteolipid protein 1 [Source:NCBI gene;Acc:396214]	4	1997678	2003292	-1	protein_coding	-0.113358920461535	-0.419298445503029	0.00963873123436532	0.921791713591699	0.948592319799888
ENSGALG00000000115	HEP21	hen egg protein 21 kDa [Source:NCBI gene;Acc:395192]	16	2492672	2494263	-1	protein_coding	0.633169214884592	-0.49330003057568	0.248819558015846	0.617907492054114	0.717696316536036
ENSGALG00000000122	GNB2L1	receptor for activated C kinase 1 [Source:NCBI gene;Acc:417044]	16	2525327	2529817	-1	protein_coding	-0.00500556337371652	11.3153849751374	0.174455724677208	0.676181847771955	0.763514440334696
ENSGALG00000000129	TCF25	transcription factor 25 [Source:NCBI gene;Acc:425450]	11	18820548	18838454	1	protein_coding	-0.154365372838225	6.54947739702176	6.91754906056462	0.00853538816383377	0.0255198306035675
ENSGALG00000000137	SNRPE	small nuclear ribonucleoprotein polypeptide E [Source:NCBI gene;Acc:396180]	26	1678657	1680974	1	protein_coding	0.151441386196589	9.65800521031645	47.6730515174067	5.03566308890807e-12	6.97152496245412e-11
ENSGALG00000000142	CEPT1	choline/ethanolamine phosphotransferase 1 [Source:NCBI gene;Acc:421152]	26	1041982	1065980	-1	protein_coding	-0.345614649996588	4.40603919764999	7.86753616974307	0.00503301840311757	0.0162473796561089
ENSGALG00000000146	SUPT6H	SPT6 homolog, histone chaperone [Source:NCBI gene;Acc:425418]	19	5921244	5941204	1	protein_coding	0.0242021065378362	2.82862810768499	0.0123199010101458	0.911620272414676	0.943379457009607
ENSGALG00000000150	RPL9	ribosomal protein L9 [Source:NCBI gene;Acc:425468]	4	69289315	69296300	1	protein_coding	-0.0199909972822114	12.2219928752315	11.546733198854	0.000678684019793938	0.00287592682080058
ENSGALG00000000151	ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif, 19 [Source:NCBI gene;Acc:415600]	Z	45410076	45570562	-1	protein_coding	-0.489277030208149	1.87349538649749	2.3997686475549	0.121353196072652	0.212805542309787
ENSGALG00000000154	DENND2D	DENN domain containing 2D [Source:NCBI gene;Acc:421153]	26	1029892	1037452	1	protein_coding	0.766993610614383	-0.097372980155674	0.746403433617341	0.387617319422947	0.51015290283138
ENSGALG00000000156	BRD2	bromodomain containing 2 [Source:NCBI gene;Acc:417049]	16	2574359	2580734	-1	protein_coding	-0.0683134230747239	6.86848452994903	1.67833330024206	0.195146064973244	0.312490851041342
ENSGALG00000000161	ISOC1	isochorismatase domain containing 1 [Source:NCBI gene;Acc:415601]	Z	45666922	45706187	-1	protein_coding	0.198278134649726	5.19388849340005	4.46292535109838	0.0346381291443541	0.0794796163452984
