geneSymbol	Gene name	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene type	logFC	logCPM	LR	PValue	FDR
ENSGALG00000012550	HMOX1	heme oxygenase 1 [Source:NCBI gene;Acc:396287]	1	52103308	52109433	-1	protein_coding	0.15918292489395	3.51495438430835	1.20925674355188	0.27147937189748	0.364929470666133
ENSGALG00000016736	CYFIP1	cytoplasmic FMR1 interacting protein 1 [Source:NCBI gene;Acc:418677]	1	131681532	131744672	1	protein_coding	-0.122549335135838	7.1937298191538	5.84019891150994	0.0156640557355474	0.0324371855609693
ENSGALG00000023576	PIM3	pim-3 oncogene [Source:NCBI gene;Acc:768655]	1	19335370	19339085	-1	protein_coding	0.0618134786369313	3.29507406114305	0.163201808232492	0.686225635361566	0.761307124246172
ENSGALG00000015006	MAB21L3	mab-21 like 3 [Source:NCBI gene;Acc:770247]	1	81097708	81108336	-1	protein_coding	0.367095313068901	0.888661858247628	1.73994374821558	0.187145954371615	0.271239492838242
ENSGALG00000017145	MPHOSPH8	M-phase phosphoprotein 8 [Source:NCBI gene;Acc:418957]	1	180550812	180568847	-1	protein_coding	-0.0811468937905432	5.57628370711047	1.85222703420155	0.173524599110515	0.254495984224387
ENSGALG00000008554	IL17REL	interleukin 17 receptor E like [Source:NCBI gene;Acc:769256]	1	20198062	20240989	-1	protein_coding	1.59958235755067	-1.95966169159701	3.27766909447484	0.070228603738259	0.118387517278508
ENSGALG00000015016	SLC22A15	solute carrier family 22 member 15 [Source:NCBI gene;Acc:418336]	1	81130221	81161028	-1	protein_coding	-0.148804198642279	-0.349099171174857	0.231883113506786	0.630131030103543	0.713238974714402
ENSGALG00000052027		fibronectin type III domain-containing protein 9-like [Source:NCBI gene;Acc:101748456]	1	131722616	131727023	-1	protein_coding	-3.94241397336791	0.786790712000224	68.8992450481057	1.03624483681084e-16	1.26846477731372e-15
ENSGALG00000012552	TOM1	target of myb1 membrane trafficking protein [Source:NCBI gene;Acc:396049]	1	52116279	52137392	-1	protein_coding	0.0539893946199438	4.80689629365492	0.327348444434602	0.567224607224383	0.658186178381979
ENSGALG00000016737	NIPA2	non imprinted in Prader-Willi/Angelman syndrome 2 [Source:NCBI gene;Acc:418680]	1	131746791	131757830	-1	protein_coding	0.0759663858617364	6.63906156051789	1.66729257848227	0.196621564005722	0.282169823124762
ENSGALG00000040038	MLC1	megalencephalic leukoencephalopathy with subcortical cysts 1 [Source:NCBI gene;Acc:417737]	1	20257352	20275372	-1	protein_coding	-0.499926513149065	0.828789027957781	3.13716776733303	0.0765265892402701	0.127547703931678
ENSGALG00000012559	LARGE1	LARGE xylosyl- and glucuronyltransferase 1 [Source:NCBI gene;Acc:418062]	1	52678868	52954337	1	protein_coding	0.329046703604237	4.5222782936474	15.3444952904518	8.95815533940852e-05	0.00030077060487974
ENSGALG00000033432	NHLH2	nescient helix-loop-helix 2 [Source:NCBI gene;Acc:395578]	1	81203444	81204741	1	protein_coding	0.364442692898379	-2.30427207768111	0.177463060770972	0.673562572281744	0.750483938786056
ENSGALG00000017148	CENPJ	centromere protein J [Source:NCBI gene;Acc:418960]	1	180615148	180632384	1	protein_coding	-0.239724537117005	3.7537708801818	7.42445367884852	0.00643433577343474	0.0147401151997966
ENSGALG00000015018	CASQ2	calsequestrin 2 [Source:NCBI gene;Acc:395198]	1	81232635	81309584	1	protein_coding	2.82429430361098	0.578573773725965	56.1005453452506	6.88580150515466e-14	6.72908355857016e-13
ENSGALG00000016739	HERC2	HECT and RLD domain containing E3 ubiquitin protein ligase 2 [Source:NCBI gene;Acc:418682]	1	131806734	131911385	1	protein_coding	0.146230229468311	7.51813793721361	4.91356297120961	0.026646620803534	0.0516188283498441
ENSGALG00000033589	SYN3	synapsin III [Source:NCBI gene;Acc:100857420]	1	53021721	53223751	1	protein_coding	-0.456616850765044	-0.0773899018966783	1.49893487625415	0.220835321355532	0.310734639121662
ENSGALG00000026507	FDX1	ferredoxin 1 [Source:NCBI gene;Acc:373947]	1	180901126	180917603	-1	protein_coding	0.208517963103655	5.7460924458373	3.07997770100958	0.0792616127674609	0.131355891611852
ENSGALG00000028627	TIMP3	TIMP metallopeptidase inhibitor 3 [Source:NCBI gene;Acc:396483]	1	53094947	53127580	-1	protein_coding	-0.200597989263197	6.74665525582216	2.17235272759002	0.140511119699848	0.213076265273627
ENSGALG00000017153	RDX	radixin [Source:NCBI gene;Acc:395511]	1	180936321	180969903	1	protein_coding	-0.431652376568121	8.35943248629054	25.7003894049437	3.98746588673594e-07	1.8893781903654e-06
ENSGALG00000015025	VANGL1	VANGL planar cell polarity protein 1 [Source:NCBI gene;Acc:418337]	1	81276492	81306906	-1	protein_coding	0.493651906216404	2.39989816137803	9.93573675133845	0.00162100541804152	0.00426031733979199
