Gene stable ID	Gene name	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene type	logFC	logCPM	LR	PValue	FDR
ENSGALG00000000003	PANX2	pannexin 2 [Source:NCBI gene;Acc:426934]	1	20328226	20347898	1	protein_coding	-1.11839824666524	1.81754775313452	6.96719949748631	0.00830173225550844	0.0267036150803625
ENSGALG00000000011	C10orf88	chromosome 10 open reading frame 88 [Source:HGNC Symbol;Acc:HGNC:25822]	6	32362856	32366096	-1	protein_coding	-0.0389289167384647	5.0281955555217	0.107119104575348	0.743448138692492	0.828319487929934
ENSGALG00000000048		V-type proton ATPase catalytic subunit A-like [Source:NCBI gene;Acc:776719]	25	482603	488101	1	protein_coding	-1.51567984883611	-0.139359703957174	1.24042546089562	0.265389072890974	0.384844580671584
ENSGALG00000000055	LAMTOR3	late endosomal/lysosomal adaptor, MAPK and MTOR activator 3 [Source:NCBI gene;Acc:425210]	4	60121988	60126244	-1	protein_coding	0.29112680677098	6.34892273099716	15.1047847922333	0.000101705177068311	0.000612970595798914
ENSGALG00000000067	SPR	sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase) [Source:NCBI gene;Acc:425255]	4	89868567	89871730	-1	protein_coding	0.301251399934923	4.40622379280012	4.15295293337382	0.0415619833299043	0.0956744786123259
ENSGALG00000000071		DNA damage induced apoptosis suppressor [Source:NCBI gene;Acc:101750305]	1	190327368	190335382	1	protein_coding	0.213857435537408	1.68007288929483	0.252421525456801	0.615375144632735	0.722559232268897
ENSGALG00000000081	IL4I1	interleukin 4 induced 1 [Source:NCBI gene;Acc:417039]	16	2367597	2478250	1	protein_coding	3.27124148257853	0.0951121621475011	6.17430001126889	0.0129619183770434	0.0375941840106969
ENSGALG00000000086	TIMM17B	translocase of inner mitochondrial membrane 17 homolog B (yeast) [Source:NCBI gene;Acc:421147]	26	1113674	1120743	-1	protein_coding	0.0649624227724579	7.41306036137379	1.54485934581902	0.213895948082042	0.33452974548787
ENSGALG00000000091	INTS4	integrator complex subunit 4 [Source:NCBI gene;Acc:419028]	1	194331748	194363395	1	protein_coding	-0.400860934691555	1.05857756009612	0.469589674093581	0.493175998220147	0.616329836351105
ENSGALG00000000094	ADIPOR1	adiponectin receptor 1 [Source:NCBI gene;Acc:421148]	26	1106026	1112697	1	protein_coding	-0.184105119368252	5.39333733148438	3.07408505310917	0.0795493433534925	0.156562204071195
ENSGALG00000000102	UBE2T	ubiquitin conjugating enzyme E2 T [Source:NCBI gene;Acc:421149]	26	1099146	1102387	1	protein_coding	0.158937489779467	6.08842354144696	3.75909198589574	0.0525210926601177	0.115378908124779
ENSGALG00000000104		cryptochrome 4 [Source:NCBI gene;Acc:395100]	26	1089542	1098705	-1	protein_coding	2.41342735742654	-0.0568937144018826	3.08720610566404	0.0789101890531804	0.155532400375434
ENSGALG00000000106	LRIF1	ligand dependent nuclear receptor interacting factor 1 [Source:NCBI gene;Acc:421150]	26	1079126	1090634	-1	protein_coding	-0.571526207884975	3.0019637189023	5.09493979261824	0.023995747105638	0.0624761997368611
ENSGALG00000000109	AFMID	arylformamidase [Source:NCBI gene;Acc:769005]	18	9856717	9860064	-1	protein_coding	0.576176413854825	3.87127937706658	10.2788264268414	0.00134565510673323	0.0056988706018592
ENSGALG00000000112	PLP1	proteolipid protein 1 [Source:NCBI gene;Acc:396214]	4	1997678	2003292	-1	protein_coding	-1.37597389928529	1.26501555722603	6.03850263112889	0.0139971512237189	0.0400565735507015
ENSGALG00000000115	HEP21	hen egg protein 21 kDa [Source:NCBI gene;Acc:395192]	16	2492672	2494263	-1	protein_coding	3.27124100198267	0.0951119400492877	6.1742985985836	0.0129619287267869	0.0375941840106969
ENSGALG00000000122	GNB2L1	receptor for activated C kinase 1 [Source:NCBI gene;Acc:417044]	16	2525327	2529817	-1	protein_coding	-0.00168822129870496	11.1902464197512	0.0110806366289842	0.916165849662429	0.942853701166585
ENSGALG00000000129	TCF25	transcription factor 25 [Source:NCBI gene;Acc:425450]	11	18820548	18838454	1	protein_coding	0.085927682980438	6.68762920324155	1.65534748650826	0.198232669488983	0.319193233929786
ENSGALG00000000137	SNRPE	small nuclear ribonucleoprotein polypeptide E [Source:NCBI gene;Acc:396180]	26	1678657	1680974	1	protein_coding	0.0380785341944956	10.0140310835714	2.75114174491766	0.0971850077580168	0.184248364222613
ENSGALG00000000142	CEPT1	choline/ethanolamine phosphotransferase 1 [Source:NCBI gene;Acc:421152]	26	1041982	1065980	-1	protein_coding	0.33109393149914	4.21201906221313	4.3638924861284	0.036708337523619	0.0863630985769261
ENSGALG00000000146	SUPT6H	SPT6 homolog, histone chaperone [Source:NCBI gene;Acc:425418]	19	5921244	5941204	1	protein_coding	0.821620155514155	3.18262525204141	12.4099667446643	0.000427048471531019	0.00213906921715297
ENSGALG00000000150	RPL9	ribosomal protein L9 [Source:NCBI gene;Acc:425468]	4	69289315	69296300	1	protein_coding	0.0185298323962474	12.0975799977254	3.41840783978807	0.0644731664758985	0.134220160486751
ENSGALG00000000151	ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif, 19 [Source:NCBI gene;Acc:415600]	Z	45410076	45570562	-1	protein_coding	1.05527422522256	2.00202577150238	7.87860005958494	0.00500231888158794	0.0176031798126653
ENSGALG00000000154	DENND2D	DENN domain containing 2D [Source:NCBI gene;Acc:421153]	26	1029892	1037452	1	protein_coding	-0.717413200284541	0.580529006044938	0.82156442767334	0.364723160695631	0.493030708349722
ENSGALG00000000156	BRD2	bromodomain containing 2 [Source:NCBI gene;Acc:417049]	16	2574359	2580734	-1	protein_coding	0.214738864361537	6.90845027883639	12.0395980645437	0.000520822007607861	0.00253105355733413
ENSGALG00000000161	ISOC1	isochorismatase domain containing 1 [Source:NCBI gene;Acc:415601]	Z	45666922	45706187	-1	protein_coding	-0.215532623210477	4.82569634372919	2.82136317782664	0.0930173751507809	0.177790818494285
ENSGALG00000000164	MYBPHL	myosin binding protein H like [Source:NCBI gene;Acc:421154]	26	1011100	1020640	-1	protein_coding	0.752068895055349	0.727380222446702	1.14474736398331	0.284651415915616	0.406537379625756
ENSGALG00000000168	ADORA1	adenosine A1 receptor [Source:NCBI gene;Acc:374212]	26	991509	1008522	1	protein_coding	1.33133972219606	1.16551270148141	5.6105408245154	0.0178527521324258	0.0490802198881331
ENSGALG00000000184	SLC27A6	solute carrier family 27 (fatty acid transporter), member 6 [Source:NCBI gene;Acc:769933]	Z	45721101	45760913	-1	protein_coding	3.27124148257853	0.0951121621475011	6.17430001126889	0.0129619183770434	0.0375941840106969
ENSGALG00000000186	MTCH1	mitochondrial carrier 1 [Source:NCBI gene;Acc:425491]	26	1670781	1679287	-1	protein_coding	1.66160886284557	-0.139357488623621	1.54361624182802	0.214080336435637	0.33452974548787
ENSGALG00000000189	YTHDC2	YTH domain containing 2 [Source:NCBI gene;Acc:415602]	Z	45786454	45824614	-1	protein_coding	0.988094055791371	2.45971890735628	10.1287680636297	0.00145972937824387	0.00614081219049713
ENSGALG00000000195	SLC23A2	solute carrier family 23 member 2 [Source:NCBI gene;Acc:419520]	22	501885	551476	1	protein_coding	0.959051183546401	3.21619012710251	17.1755837537239	3.40788468721798e-05	0.000236616193495469
ENSGALG00000000201	PLEKHM1	pleckstrin homology and RUN domain containing M1 [Source:NCBI gene;Acc:419939]	27	4004619	4020058	-1	protein_coding	0.730764708511587	3.21617611266178	10.1205490463079	0.00146625314571149	0.0061634280958675
